phi_deg,N_plus,N_minus,delta_mean,p_perm,p_mw,CI95
0,35,60,-134.45128499999987,0.1458,0.09638880632797577,"[np.float64(-295.3017239583336), np.float64(31.968770285714346)]"
10,31,64,-102.40962137096813,0.2902,0.18367232460439598,"[np.float64(-267.1468923374496), np.float64(71.81380485257066)]"
20,24,71,-37.79419818075121,0.7132,0.8137945884884964,"[np.float64(-213.13171184125608), np.float64(157.0944179166667)]"
30,19,76,-35.46172105263145,0.7522,0.5239121886920381,"[np.float64(-239.7849372039476), np.float64(181.78415710526298)]"
40,17,78,-11.844202941176263,0.9214,0.6516453735803893,"[np.float64(-237.57251770361978), np.float64(236.85854315799386)]"
50,17,78,-100.08845633484157,0.3772,0.324386710896154,"[np.float64(-280.33773449094986), np.float64(113.93934015271465)]"
60,15,80,-80.93373916666678,0.5142,0.3997811810820274,"[np.float64(-277.2410623958335), np.float64(147.38153703124948)]"
70,14,81,-54.81461084656098,0.6704,0.6106105451604502,"[np.float64(-257.97111472663147), np.float64(175.26545833994658)]"
80,15,80,-98.45811208333362,0.4286,0.268132483582027,"[np.float64(-292.57341507291653), np.float64(126.10445138541664)]"
90,16,79,-171.08892547468326,0.1532,0.21568416567870818,"[np.float64(-320.21649753164564), np.float64(-18.74875053401902)]"
100,17,78,-100.02472179487177,0.4064,0.41752773653903563,"[np.float64(-278.6893096248116), np.float64(86.39008768099548)]"
110,18,77,-113.15808470418438,0.3306,0.33987117358949304,"[np.float64(-285.6461061075038), np.float64(70.49235615440135)]"
120,19,76,-121.00225394736822,0.293,0.3039046514830367,"[np.float64(-284.9812451973683), np.float64(65.33653838815809)]"
130,28,67,-8.689644402984868,0.927,0.9316975183593426,"[np.float64(-184.6626049293709), np.float64(183.52668229610825)]"
140,34,61,56.76387068466738,0.5522,0.7888251907621471,"[np.float64(-122.93507674180333), np.float64(257.083889949373)]"
150,42,53,62.09211248876909,0.4988,0.6395328379111875,"[np.float64(-107.79036226302784), np.float64(239.72116467654996)]"
160,50,45,118.18636488888887,0.187,0.27485660457891103,"[np.float64(-51.26292572777776), np.float64(288.3458864333332)]"
170,57,38,107.25373771929844,0.2418,0.12963458087901286,"[np.float64(-57.59107467105264), np.float64(274.9256665570174)]"
180,60,35,134.45128499999987,0.1536,0.09638880632797577,"[np.float64(-35.2552591964285), np.float64(294.36804305357185)]"
